Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2020-07-27,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-07-28,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-07-29,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-03,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-04,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-05,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-06,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-10,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-11,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-12,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-13,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-17,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-18,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-19,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-20,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-24,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-25,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-26,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-27,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-08-31,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-01,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-02,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-03,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-07,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-08,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-09,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-10,800000.0,800000.0,800000.0,800000.0,800000.0,0,AILN.TA,yfinance
2020-09-15,2056.25,11250.0,2056.25,10643.75,10643.75,728,AILN.TA,yfinance
2020-09-16,11125.0,11125.0,10500.0,10753.75,10753.75,1440,AILN.TA,yfinance
2020-09-17,10000.0,10000.0,5625.0,6353.75,6353.75,2128,AILN.TA,yfinance
2020-09-21,4250.0,4250.0,3750.0,4107.5,4107.5,1344,AILN.TA,yfinance
2020-09-22,2762.5,2762.5,2750.0,2752.5,2752.5,15808,AILN.TA,yfinance
2020-09-23,2730.0,3730.0,2730.0,3730.0,3730.0,5857,AILN.TA,yfinance
2020-09-24,4700.0,4900.0,4700.0,4846.0,4846.0,1197,AILN.TA,yfinance
2020-09-29,4800.0,4800.0,4280.0,4371.0,4371.0,2731,AILN.TA,yfinance
2020-09-30,3900.0,3995.0,3900.0,3914.0,3914.0,3055,AILN.TA,yfinance
2020-10-01,3500.0,3500.0,3500.0,3500.0,3500.0,2373,AILN.TA,yfinance
2020-10-05,3492.0,3492.0,3470.0,3472.0,3472.0,2143,AILN.TA,yfinance
2020-10-06,3300.0,3300.0,3100.0,3100.0,3100.0,5401,AILN.TA,yfinance
2020-10-07,3100.0,3500.0,3100.0,3349.0,3349.0,530,AILN.TA,yfinance
2020-10-08,3489.0,3489.0,3489.0,3489.0,3489.0,148,AILN.TA,yfinance
2020-10-12,4900.0,5798.0,4900.0,5798.0,5798.0,10571,AILN.TA,yfinance
2020-10-13,5300.0,5300.0,5000.0,5000.0,5000.0,4394,AILN.TA,yfinance
2020-10-14,4500.0,5555.0,4500.0,5119.0,5119.0,1461,AILN.TA,yfinance
2020-10-15,5119.0,5119.0,4900.0,4952.0,4952.0,1688,AILN.TA,yfinance
2020-10-19,4501.0,4501.0,4400.0,4428.0,4428.0,1582,AILN.TA,yfinance
2020-10-20,4000.0,4000.0,3999.0,3999.0,3999.0,6131,AILN.TA,yfinance
2020-10-21,4000.0,4249.0,4000.0,4184.0,4184.0,1536,AILN.TA,yfinance
2020-10-22,4500.0,4998.0,4500.0,4672.0,4672.0,867,AILN.TA,yfinance
